Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
SNAI2 	 U 	 Inf 	 0.2012821 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.4507558 	 0.2012821 	 2.239424 	 1.564012 	 -78.66589 	 -78.14415 	 1.081814 	 -4261.271 	 -4261.259 	 14.12216 	 -106.2645 
SNAI2 	 N1 	 0.3835467 	 0.2012821 	 1.905519 	 1.57556 	 -81.97052 	 -80.87961 	 0.8821573 	 -6089.1 	 -6089.076 	 2.269918 	 -151.2234 
SNAI2 	 N2 	 0.4352486 	 0.2012821 	 2.162381 	 1.615618 	 -76.31647 	 -71.89542 	 0.8704971 	 -7051.798 	 -7051.713 	 0.8624431 	 -167.0542 
SNAI2 	 N3 	 0.4999561 	 0.2012821 	 2.483858 	 1.666583 	 -70.93829 	 -59.68829 	 0.8499253 	 -7174.825 	 -7174.644 	 0.7581416 	 -157.5766 
FOXD1 	 U 	 Inf 	 0.2217949 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FOXD1 	 LR 	 0.1546368 	 0.2217949 	 0.6972064 	 1.564012 	 -106.4819 	 -105.9602 	 0.3711283 	 -4578.33 	 -4578.318 	 10.28825 	 -114.4998 
FOXD1 	 N1 	 0.1519489 	 0.2217949 	 0.6850873 	 1.57556 	 -106.0444 	 -104.9535 	 0.3494824 	 -4605.525 	 -4605.501 	 9.992515 	 -112.689 
FOXD1 	 N2 	 0.1734691 	 0.2217949 	 0.7821152 	 1.615618 	 -100.2343 	 -95.81327 	 0.3469383 	 -5642.629 	 -5642.544 	 3.524628 	 -130.4524 
FOXD1 	 N3 	 0.1991642 	 0.2217949 	 0.8979657 	 1.666583 	 -94.86844 	 -83.61844 	 0.3385791 	 -6044.158 	 -6043.976 	 2.345863 	 -128.2086 
CD44 	 U 	 Inf 	 0.08931624 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CD44 	 LR 	 0.1487785 	 0.08931624 	 1.665749 	 1.564012 	 -107.486 	 -106.9643 	 0.3570683 	 -4054.983 	 -4054.971 	 17.35407 	 -100.9064 
CD44 	 N1 	 0.1536769 	 0.08931624 	 1.720593 	 1.57556 	 -105.7503 	 -104.6594 	 0.3534569 	 -4647.784 	 -4647.76 	 9.579447 	 -113.7866 
CD44 	 N2 	 0.1600854 	 0.08931624 	 1.792344 	 1.615618 	 -102.3219 	 -97.90088 	 0.3201708 	 -5146.472 	 -5146.387 	 5.785973 	 -117.5652 
CD44 	 N3 	 0.1499441 	 0.08931624 	 1.678801 	 1.666583 	 -102.249 	 -90.99898 	 0.2549051 	 -6170.628 	 -6170.446 	 2.067436 	 -131.4936 
GABRB3 	 U 	 Inf 	 0.05299145 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
GABRB3 	 LR 	 0.1743754 	 0.05299145 	 3.290632 	 1.564012 	 -103.3585 	 -102.8368 	 0.4185009 	 -2892.6 	 -2892.588 	 55.426 	 -70.71462 
GABRB3 	 N1 	 0.03863655 	 0.05299145 	 0.7291091 	 1.57556 	 -141.6473 	 -140.5564 	 0.08886407 	 -5813.475 	 -5813.451 	 2.989462 	 -144.0643 
GABRB3 	 N2 	 0.0452235 	 0.05299145 	 0.8534113 	 1.615618 	 -135.1883 	 -130.7672 	 0.09044701 	 -6049.09 	 -6049.005 	 2.348367 	 -141.0099 
GABRB3 	 N3 	 0.05342872 	 0.05299145 	 1.008252 	 1.666583 	 -129.0788 	 -117.8288 	 0.09082883 	 -6268.344 	 -6268.162 	 1.875155 	 -134.0317 
SOX2 	 U 	 Inf 	 0.07179487 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SOX2 	 LR 	 0.2305104 	 0.07179487 	 3.210681 	 1.564012 	 -96.10226 	 -95.58052 	 0.5532251 	 -3552.747 	 -3552.735 	 28.66168 	 -87.8613 
SOX2 	 N1 	 0.08038819 	 0.07179487 	 1.119693 	 1.57556 	 -122.598 	 -121.5071 	 0.1848928 	 -5007.835 	 -5007.811 	 6.685418 	 -123.1386 
SOX2 	 N2 	 0.08292846 	 0.07179487 	 1.155075 	 1.615618 	 -119.4229 	 -115.0018 	 0.1658569 	 -5302.912 	 -5302.827 	 4.948838 	 -121.6286 
SOX2 	 N3 	 0.1110632 	 0.07179487 	 1.546951 	 1.666583 	 -110.0532 	 -98.80324 	 0.1888074 	 -5993.495 	 -5993.314 	 2.467647 	 -126.8927 
ZNF281 	 U 	 Inf 	 0.1717949 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
ZNF281 	 LR 	 0.3726281 	 0.1717949 	 2.169029 	 1.564012 	 -83.61485 	 -83.09312 	 0.8943075 	 -4662.119 	 -4662.107 	 9.462127 	 -116.6762 
ZNF281 	 N1 	 0.3881414 	 0.1717949 	 2.259331 	 1.57556 	 -81.6609 	 -80.56999 	 0.8927253 	 -4703.311 	 -4703.287 	 9.062531 	 -115.2289 
ZNF281 	 N2 	 0.2995016 	 0.1717949 	 1.743367 	 1.615618 	 -86.03521 	 -81.61416 	 0.5990032 	 -5634.164 	 -5634.079 	 3.554562 	 -130.2325 
ZNF281 	 N3 	 0.3565764 	 0.1717949 	 2.075594 	 1.666583 	 -79.72555 	 -68.47555 	 0.6061798 	 -6494.916 	 -6494.735 	 1.495327 	 -139.9167 
SP1 	 U 	 Inf 	 0.1700855 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SP1 	 LR 	 0.1759394 	 0.1700855 	 1.034418 	 1.564012 	 -103.1263 	 -102.6046 	 0.4222545 	 -5535.803 	 -5535.791 	 3.953046 	 -139.3692 
SP1 	 N1 	 0.1603398 	 0.1700855 	 0.9427014 	 1.57556 	 -104.6468 	 -103.5559 	 0.3687816 	 -7214.034 	 -7214.01 	 0.7378122 	 -180.4424 
SP1 	 N2 	 0.1824957 	 0.1700855 	 1.072965 	 1.615618 	 -98.91543 	 -94.49438 	 0.3649914 	 -7743.284 	 -7743.199 	 0.4322368 	 -185.0149 
SP1 	 N3 	 0.2204245 	 0.1700855 	 1.295963 	 1.666583 	 -92.23137 	 -80.98137 	 0.3747217 	 -8625.403 	 -8625.221 	 0.1779926 	 -195.254 
LEFTY1 	 U 	 Inf 	 0.1042735 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LEFTY1 	 LR 	 0.1007905 	 0.1042735 	 0.9665977 	 1.564012 	 -117.6108 	 -117.0891 	 0.2418973 	 -4972.036 	 -4972.024 	 6.942691 	 -124.726 
LEFTY1 	 N1 	 0.09799154 	 0.1042735 	 0.9397549 	 1.57556 	 -117.4496 	 -116.3587 	 0.2253805 	 -5410.728 	 -5410.704 	 4.47022 	 -133.6033 
LEFTY1 	 N2 	 0.1111959 	 0.1042735 	 1.066387 	 1.615618 	 -111.7967 	 -107.3756 	 0.2223918 	 -5463.08 	 -5462.995 	 4.217086 	 -125.7888 
LEFTY1 	 N3 	 0.1423423 	 0.1042735 	 1.365086 	 1.666583 	 -103.6017 	 -92.3517 	 0.241982 	 -5962.205 	 -5962.024 	 2.546001 	 -126.08 
SET 	 U 	 Inf 	 0.07307692 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SET 	 LR 	 0.08411238 	 0.07307692 	 1.151011 	 1.564012 	 -122.314 	 -121.7922 	 0.2018697 	 -7058.334 	 -7058.322 	 0.8637051 	 -178.9155 
SET 	 N1 	 0.1006507 	 0.07307692 	 1.377325 	 1.57556 	 -116.7535 	 -115.6626 	 0.2314965 	 -6268.687 	 -6268.663 	 1.897118 	 -155.888 
SET 	 N2 	 0.09762665 	 0.07307692 	 1.335944 	 1.615618 	 -115.1804 	 -110.7594 	 0.1952533 	 -10036.32 	 -10036.24 	 0.04373846 	 -244.5743 
SET 	 N3 	 0.1095574 	 0.07307692 	 1.499207 	 1.666583 	 -110.4081 	 -99.15815 	 0.1862476 	 -10265.11 	 -10264.93 	 0.03459368 	 -237.8438 
UTF1 	 U 	 Inf 	 0.07606838 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
UTF1 	 LR 	 0.05419192 	 0.07606838 	 0.7124106 	 1.564012 	 -133.7441 	 -133.2224 	 0.1300606 	 -4883.881 	 -4883.869 	 7.581844 	 -122.4362 
UTF1 	 N1 	 0.0640774 	 0.07606838 	 0.8423658 	 1.57556 	 -128.4941 	 -127.4032 	 0.147378 	 -5183.83 	 -5183.806 	 5.607522 	 -127.7099 
UTF1 	 N2 	 0.05383402 	 0.07606838 	 0.7077056 	 1.615618 	 -130.6568 	 -126.2357 	 0.107668 	 -5612.956 	 -5612.871 	 3.630673 	 -129.6817 
UTF1 	 N3 	 0.07366979 	 0.07606838 	 0.968468 	 1.666583 	 -120.7264 	 -109.4764 	 0.1252386 	 -6031.379 	 -6031.198 	 2.376001 	 -127.8767 
CDH2..NCAD. 	 U 	 Inf 	 0.192735 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CDH2..NCAD. 	 LR 	 0.3971376 	 0.192735 	 2.060536 	 1.564012 	 -81.95861 	 -81.43687 	 0.9531302 	 -3901.005 	 -3900.993 	 20.2398 	 -96.90696 
CDH2..NCAD. 	 N1 	 0.3907726 	 0.192735 	 2.027512 	 1.57556 	 -81.48524 	 -80.39433 	 0.8987771 	 -3842.136 	 -3842.112 	 21.42296 	 -92.86067 
CDH2..NCAD. 	 N2 	 0.5838703 	 0.192735 	 3.029394 	 1.615618 	 -68.67867 	 -64.25762 	 1.167741 	 -4134.584 	 -4134.5 	 15.8999 	 -91.28243 
CDH2..NCAD. 	 N3 	 0.3924662 	 0.192735 	 2.036299 	 1.666583 	 -77.2321 	 -65.9821 	 0.6671925 	 -5323.381 	 -5323.2 	 4.81969 	 -109.4872 
TGFBR2 	 U 	 Inf 	 0.2141026 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TGFBR2 	 LR 	 0.2958032 	 0.2141026 	 1.381596 	 1.564012 	 -89.61791 	 -89.09617 	 0.7099276 	 -4101.827 	 -4101.815 	 16.56066 	 -102.1231 
TGFBR2 	 N1 	 0.1690375 	 0.2141026 	 0.7895166 	 1.57556 	 -103.2734 	 -102.1825 	 0.3887863 	 -4800.819 	 -4800.795 	 8.221379 	 -117.7615 
TGFBR2 	 N2 	 0.2014096 	 0.2141026 	 0.9407155 	 1.615618 	 -96.35146 	 -91.93041 	 0.4028192 	 -5109.776 	 -5109.691 	 6.002016 	 -116.6121 
TGFBR2 	 N3 	 0.2020927 	 0.2141026 	 0.9439062 	 1.666583 	 -94.48892 	 -83.23892 	 0.3435577 	 -6160.022 	 -6159.841 	 2.089457 	 -131.2181 
DUSP10 	 U 	 Inf 	 0.1106838 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
DUSP10 	 LR 	 0.1069008 	 0.1106838 	 0.965822 	 1.564012 	 -116.0805 	 -115.5588 	 0.256562 	 -5456.454 	 -5456.442 	 4.279157 	 -137.3082 
DUSP10 	 N1 	 0.1060431 	 0.1106838 	 0.958073 	 1.57556 	 -115.3965 	 -114.3056 	 0.2438992 	 -5504.468 	 -5504.444 	 4.070606 	 -136.0381 
DUSP10 	 N2 	 0.1238505 	 0.1106838 	 1.118959 	 1.615618 	 -108.9944 	 -104.5733 	 0.2477011 	 -5838.35 	 -5838.266 	 2.898662 	 -135.5361 
DUSP10 	 N3 	 0.1419722 	 0.1106838 	 1.282683 	 1.666583 	 -103.6694 	 -92.4194 	 0.2413528 	 -7275.835 	 -7275.654 	 0.6853716 	 -160.2003 
MYC 	 U 	 Inf 	 0.05854701 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
MYC 	 LR 	 0.9956331 	 0.05854701 	 17.0057 	 1.564012 	 -58.06211 	 -57.54037 	 2.389519 	 -2677.605 	 -2677.592 	 68.7055 	 -65.13033 
MYC 	 N1 	 0.960823 	 0.05854701 	 16.41114 	 1.57556 	 -58.09396 	 -57.00306 	 2.209893 	 -3521.183 	 -3521.159 	 29.52081 	 -84.52424 
MYC 	 N2 	 1.108914 	 0.05854701 	 18.94057 	 1.615618 	 -52.00078 	 -47.57973 	 2.217827 	 -3515.16 	 -3515.076 	 29.52148 	 -75.1935 
MYC 	 N3 	 0.7791035 	 0.05854701 	 13.30732 	 1.666583 	 -59.40407 	 -48.15407 	 1.324476 	 -6127.646 	 -6127.465 	 2.158143 	 -130.3772 
ZFP42..REX1. 	 U 	 Inf 	 0.01452991 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
ZFP42..REX1. 	 LR 	 0.2503119 	 0.01452991 	 17.22735 	 1.564012 	 -93.95955 	 -93.43782 	 0.6007487 	 -2531.524 	 -2531.512 	 79.50051 	 -61.33604 
ZFP42..REX1. 	 N1 	 0.01864893 	 0.01452991 	 1.283486 	 1.57556 	 -160.586 	 -159.4951 	 0.04289255 	 -6394.899 	 -6394.875 	 1.672384 	 -159.1662 
ZFP42..REX1. 	 N2 	 0.02171832 	 0.01452991 	 1.494731 	 1.615618 	 -154.2583 	 -149.8372 	 0.04343664 	 -6926.131 	 -6926.046 	 0.9778052 	 -163.7901 
ZFP42..REX1. 	 N3 	 0.02486023 	 0.01452991 	 1.710969 	 1.666583 	 -148.9708 	 -137.7208 	 0.04226239 	 -7180.345 	 -7180.163 	 0.7539727 	 -157.72 
TRIM28 	 U 	 Inf 	 0.1487179 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TRIM28 	 LR 	 0.1702966 	 0.1487179 	 1.145098 	 1.564012 	 -103.9739 	 -103.4521 	 0.4087119 	 -5865.134 	 -5865.122 	 2.844776 	 -147.9233 
TRIM28 	 N1 	 0.1457343 	 0.1487179 	 0.9799378 	 1.57556 	 -107.1301 	 -106.0392 	 0.335189 	 -7344.146 	 -7344.122 	 0.6478807 	 -183.822 
TRIM28 	 N2 	 0.167545 	 0.1487179 	 1.126596 	 1.615618 	 -101.1378 	 -96.71671 	 0.3350901 	 -8688.198 	 -8688.113 	 0.1681747 	 -209.5581 
TRIM28 	 N3 	 0.1971642 	 0.1487179 	 1.325759 	 1.666583 	 -95.13086 	 -83.88086 	 0.3351791 	 -8949.343 	 -8949.161 	 0.1287826 	 -203.668 
CDKN1A 	 U 	 Inf 	 0.0982906 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CDKN1A 	 LR 	 0.07728688 	 0.0982906 	 0.78631 	 1.564012 	 -124.5143 	 -123.9926 	 0.1854885 	 -4188.812 	 -4188.8 	 15.18232 	 -104.3825 
CDKN1A 	 N1 	 0.07621584 	 0.0982906 	 0.7754133 	 1.57556 	 -123.9837 	 -122.8928 	 0.1752964 	 -4758.298 	 -4758.274 	 8.578134 	 -116.6571 
CDKN1A 	 N2 	 0.06173027 	 0.0982906 	 0.6280384 	 1.615618 	 -127.0982 	 -122.6771 	 0.1234605 	 -5616.125 	 -5616.041 	 3.619196 	 -129.764 
CDKN1A 	 N3 	 0.08219704 	 0.0982906 	 0.8362656 	 1.666583 	 -117.8787 	 -106.6287 	 0.139735 	 -6317.274 	 -6317.092 	 1.785699 	 -135.3026 
JMJD3 	 U 	 Inf 	 0.182906 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
JMJD3 	 LR 	 0.3244338 	 0.182906 	 1.773773 	 1.564012 	 -87.21584 	 -86.69411 	 0.778641 	 -3235.693 	 -3235.68 	 39.34224 	 -79.62612 
JMJD3 	 N1 	 0.3175486 	 0.182906 	 1.73613 	 1.57556 	 -86.88011 	 -85.7892 	 0.7303617 	 -3399.122 	 -3399.098 	 33.34924 	 -81.35381 
JMJD3 	 N2 	 0.3039071 	 0.182906 	 1.661548 	 1.615618 	 -85.65555 	 -81.2345 	 0.6078142 	 -4755.204 	 -4755.119 	 8.553269 	 -107.4024 
JMJD3 	 N3 	 0.3855856 	 0.182906 	 2.108108 	 1.666583 	 -77.69197 	 -66.44197 	 0.6554956 	 -5226.271 	 -5226.09 	 5.310695 	 -106.9648 
RNF2 	 U 	 Inf 	 0.2025641 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
RNF2 	 LR 	 0.2723963 	 0.2025641 	 1.344741 	 1.564012 	 -91.76126 	 -91.23952 	 0.653751 	 -5006.848 	 -5006.836 	 6.705396 	 -125.6302 
RNF2 	 N1 	 0.2466136 	 0.2025641 	 1.21746 	 1.57556 	 -93.45312 	 -92.36221 	 0.5672114 	 -5141.454 	 -5141.43 	 5.850009 	 -126.6092 
RNF2 	 N2 	 0.2928359 	 0.2025641 	 1.445646 	 1.615618 	 -86.6204 	 -82.19934 	 0.5856719 	 -5459.406 	 -5459.321 	 4.232594 	 -125.6934 
RNF2 	 N3 	 0.3398097 	 0.2025641 	 1.677541 	 1.666583 	 -80.97778 	 -69.72778 	 0.5776765 	 -6187.651 	 -6187.469 	 2.032574 	 -131.9357 
LATS2 	 U 	 Inf 	 0.2282051 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LATS2 	 LR 	 0.5976486 	 0.2282051 	 2.618909 	 1.564012 	 -71.33188 	 -70.81015 	 1.434357 	 -2904.545 	 -2904.533 	 54.76849 	 -71.02489 
LATS2 	 N1 	 0.5628334 	 0.2282051 	 2.466348 	 1.57556 	 -71.99894 	 -70.90803 	 1.294517 	 -3005.946 	 -3005.922 	 49.39346 	 -71.14145 
LATS2 	 N2 	 0.4052151 	 0.2282051 	 1.775661 	 1.615618 	 -78.17545 	 -73.7544 	 0.8104301 	 -5066.894 	 -5066.81 	 6.264724 	 -115.4983 
LATS2 	 N3 	 0.5037566 	 0.2282051 	 2.207473 	 1.666583 	 -70.74139 	 -59.49139 	 0.8563862 	 -5206.796 	 -5206.615 	 5.415028 	 -106.459 
FGF2 	 U 	 Inf 	 0.1940171 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FGF2 	 LR 	 0.5213484 	 0.1940171 	 2.687126 	 1.564012 	 -74.88308 	 -74.36134 	 1.251236 	 -3474.816 	 -3474.804 	 30.98223 	 -85.83713 
FGF2 	 N1 	 0.5771357 	 0.1940171 	 2.974664 	 1.57556 	 -71.3465 	 -70.25559 	 1.327412 	 -2751.296 	 -2751.272 	 63.70182 	 -64.52717 
FGF2 	 N2 	 0.3027729 	 0.1940171 	 1.560548 	 1.615618 	 -85.75276 	 -81.33171 	 0.6055458 	 -5474.313 	 -5474.229 	 4.170026 	 -126.0806 
FGF2 	 N3 	 0.3607929 	 0.1940171 	 1.859594 	 1.666583 	 -79.4199 	 -68.1699 	 0.613348 	 -5742.321 	 -5742.14 	 3.171447 	 -120.3687 
LCK 	 U 	 Inf 	 0.05299145 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LCK 	 LR 	 0.2029897 	 0.05299145 	 3.830611 	 1.564012 	 -99.40793 	 -98.88619 	 0.4871752 	 -3928.368 	 -3928.356 	 19.69402 	 -97.6177 
LCK 	 N1 	 0.0170873 	 0.05299145 	 0.3224538 	 1.57556 	 -162.8598 	 -161.7689 	 0.03930078 	 -4678.894 	 -4678.87 	 9.286307 	 -114.5946 
LCK 	 N2 	 0.02836006 	 0.05299145 	 0.5351817 	 1.615618 	 -147.3208 	 -142.8997 	 0.05672011 	 -5621.646 	 -5621.562 	 3.599289 	 -129.9074 
LCK 	 N3 	 0.03592533 	 0.05299145 	 0.6779458 	 1.666583 	 -139.3983 	 -128.1483 	 0.06107306 	 -6682.933 	 -6682.751 	 1.239262 	 -144.8002 
KLF5 	 U 	 Inf 	 0.2405983 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
KLF5 	 LR 	 0.3269697 	 0.2405983 	 1.358986 	 1.564012 	 -87.01341 	 -86.49167 	 0.7847272 	 -4756.955 	 -4756.943 	 8.606829 	 -119.1394 
KLF5 	 N1 	 0.2811178 	 0.2405983 	 1.168412 	 1.57556 	 -90.04839 	 -88.95748 	 0.646571 	 -4922.152 	 -4922.128 	 7.282875 	 -120.913 
KLF5 	 N2 	 0.3234084 	 0.2405983 	 1.344184 	 1.615618 	 -84.0385 	 -79.61745 	 0.6468169 	 -5103.733 	 -5103.648 	 6.038361 	 -116.4551 
KLF5 	 N3 	 0.3775953 	 0.2405983 	 1.569402 	 1.666583 	 -78.23641 	 -66.98641 	 0.6419121 	 -5373.025 	 -5372.843 	 4.586493 	 -110.7766 
KLF4 	 U 	 Inf 	 0.2235043 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
KLF4 	 LR 	 0.4163795 	 0.2235043 	 1.86296 	 1.564012 	 -80.72844 	 -80.2067 	 0.9993107 	 -3969.092 	 -3969.08 	 18.90888 	 -98.67546 
KLF4 	 N1 	 0.4318244 	 0.2235043 	 1.932063 	 1.57556 	 -78.88801 	 -77.79711 	 0.9931962 	 -3819.323 	 -3819.299 	 21.91679 	 -92.26813 
KLF4 	 N2 	 0.4335919 	 0.2235043 	 1.939971 	 1.615618 	 -76.41562 	 -71.99457 	 0.8671838 	 -4584.557 	 -4584.473 	 10.14306 	 -102.9701 
KLF4 	 N3 	 0.5061293 	 0.2235043 	 2.264517 	 1.666583 	 -70.61922 	 -59.36922 	 0.8604198 	 -5774.049 	 -5773.868 	 3.072501 	 -121.1928 
NACC1 	 U 	 Inf 	 0.2094017 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
NACC1 	 LR 	 0.2449193 	 0.2094017 	 1.169614 	 1.564012 	 -94.52582 	 -94.00408 	 0.5878062 	 -4565.196 	 -4565.184 	 10.42414 	 -114.1587 
NACC1 	 N1 	 0.1932234 	 0.2094017 	 0.9227402 	 1.57556 	 -99.79649 	 -98.70558 	 0.4444138 	 -5897.074 	 -5897.05 	 2.749938 	 -146.2357 
NACC1 	 N2 	 0.2257816 	 0.2094017 	 1.078222 	 1.615618 	 -93.38155 	 -88.9605 	 0.4515631 	 -6471.375 	 -6471.29 	 1.540115 	 -151.9783 
NACC1 	 N3 	 0.2556163 	 0.2094017 	 1.220698 	 1.666583 	 -88.3802 	 -77.1302 	 0.4345477 	 -7111.788 	 -7111.607 	 0.8074205 	 -155.9393 
EZH2 	 U 	 Inf 	 0.04957265 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
EZH2 	 LR 	 0.3842837 	 0.04957265 	 7.75193 	 1.564012 	 -82.81405 	 -82.29231 	 0.9222809 	 -3165.166 	 -3165.154 	 42.2141 	 -77.79427 
EZH2 	 N1 	 0.06407846 	 0.04957265 	 1.292617 	 1.57556 	 -128.4937 	 -127.4028 	 0.1473805 	 -6348.131 	 -6348.107 	 1.752373 	 -157.9515 
EZH2 	 N2 	 0.07206053 	 0.04957265 	 1.453635 	 1.615618 	 -123.0752 	 -118.6541 	 0.1441211 	 -6709.781 	 -6709.696 	 1.213719 	 -158.1707 
EZH2 	 N3 	 0.0715586 	 0.04957265 	 1.44351 	 1.666583 	 -121.4824 	 -110.2324 	 0.1216496 	 -7414.825 	 -7414.644 	 0.5965183 	 -163.8104 
EED 	 U 	 Inf 	 0.1269231 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
EED 	 LR 	 0.1448934 	 0.1269231 	 1.141584 	 1.564012 	 -108.174 	 -107.6523 	 0.3477441 	 -5014.398 	 -5014.386 	 6.655011 	 -125.8263 
EED 	 N1 	 0.1271457 	 0.1269231 	 1.001754 	 1.57556 	 -110.6778 	 -109.5869 	 0.292435 	 -5924.611 	 -5924.587 	 2.675317 	 -146.9509 
EED 	 N2 	 0.14711 	 0.1269231 	 1.159048 	 1.615618 	 -104.5196 	 -100.0986 	 0.29422 	 -6560.17 	 -6560.086 	 1.409381 	 -154.2847 
EED 	 N3 	 0.1665238 	 0.1269231 	 1.312006 	 1.666583 	 -99.52221 	 -88.27221 	 0.2830905 	 -6620.746 	 -6620.565 	 1.318692 	 -143.185 
SMARCC2 	 U 	 Inf 	 0.03376068 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SMARCC2 	 LR 	 0.03004517 	 0.03376068 	 0.8899455 	 1.564012 	 -149.0797 	 -148.558 	 0.07210841 	 -7936.506 	 -7936.494 	 0.3592204 	 -201.7252 
SMARCC2 	 N1 	 0.2500052 	 0.03376068 	 7.405218 	 1.57556 	 -93.09798 	 -92.00707 	 0.575012 	 -7130.742 	 -7130.718 	 0.8018311 	 -178.279 
