Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
DUSP10 	 0.1911765 	 0.1022418 	 0.6822273 	 0.1774732 	 0.10008 	 0.9011156 	 0.1774732 	 -0.2841324 	 0.4215655 	 0.176454 	 -98.0983 	 -7387.354 	Poor
MYC 	 0.08823529 	 -0.1002081 	 0.2344203 	 0.01707441 	 -0.1353171 	 0.5776589 	 0.1609715 	 0.1596987 	 0.1930183 	 0.06059223 	 -95.54252 	 -8924.065 	Poor
ZFP42_REX1 	 0.01470588 	 0.7669137 	 0.657758 	 0.1041494 	 -0.1740149 	 0.4952583 	 0.02464031 	 0.3839658 	 0.4577948 	 0.08392863 	 -83.07382 	 -9100.667 	Good
TRIM28 	 0.8676471 	 -0.5122616 	 0.4242392 	 0.1409563 	 0.579308 	 0.3807477 	 0.1408823 	 0.1008829 	 0.845301 	 0.1774732 	 -121.7722 	 -8927.01 	Good
CD48 	 0 	 -0.2490677 	 0.7776503 	 0.1774732 	 0.1263053 	 0.2558464 	 0.06496763 	 0.1001937 	 0.6295588 	 0.06565527 	 -108.7478 	 -8505.993 	Poor
CDKN1A 	 1 	 -0.3413786 	 0.6113817 	 0.08889006 	 -0.1854996 	 0.9842462 	 0.05227991 	 -0.100803 	 0.1955408 	 0.08330366 	 -90.10594 	 -8785.929 	Good
JMJD3 	 0.3235294 	 -0.8849984 	 0.4063926 	 0.1774732 	 0.817499 	 0.4004917 	 0.119423 	 0.100109 	 0.7362661 	 0.01441435 	 -95.60519 	 -7221.212 	Good
RNF2 	 0.6617647 	 0.1785757 	 0.7590443 	 0.09412637 	 1 	 0.2853211 	 0.116639 	 -0.8463167 	 0.2636913 	 0.06482556 	 -87.81527 	 -8201.166 	Poor
LATS2 	 0.7352941 	 -0.1005374 	 0.493309 	 0.02390962 	 0.4276538 	 0.6138888 	 0.1774732 	 -0.2347458 	 0.2034031 	 0.1157223 	 -84.79447 	 -8013.761 	Good
FGF2 	 0.8970588 	 0.4446164 	 0.754583 	 0.1108938 	 0.5970027 	 0.3537059 	 0.08317975 	 -1 	 0.399142 	 0.1724801 	 -73.03473 	 -8064.699 	Poor
LCK 	 0 	 1 	 0.3623678 	 0.09648366 	 0.4543817 	 0.925338 	 0.07099157 	 -0.7632005 	 0.3572169 	 0.08139493 	 -83.26651 	 -8631.316 	Poor
KLF5 	 0.3823529 	 0.5817716 	 0.2590962 	 0.05538433 	 -0.2042464 	 0.938874 	 0.03353514 	 -0.1667897 	 0.5286006 	 0.06373958 	 -47.87002 	 -7786.353 	Poor
KLF4 	 0.7941176 	 -0.2312601 	 0.1584017 	 0.06450558 	 0.1202556 	 0.4560086 	 0.0214863 	 -0.322948 	 0.927917 	 0.08274422 	 -65.61123 	 -7950.839 	Poor
NACC1 	 0.7058824 	 0.1004641 	 0.2489687 	 0.02200657 	 -0.51268 	 0.6186297 	 0.1058638 	 0.6966487 	 0.6231475 	 0.1506452 	 -96.20901 	 -8235.693 	Good
DNMT3L 	 0 	 -0.4198219 	 0.9049867 	 0.04987137 	 0.1241123 	 0.3949367 	 0.03127864 	 0.5731125 	 0.614881 	 0.07330286 	 -50.11028 	 -8529.506 	Poor
EZH2 	 0.2058824 	 0.5162528 	 0.2026541 	 0.1404571 	 0.3444073 	 0.9606781 	 0.05382757 	 -0.2030684 	 0.3061254 	 0.0117108 	 -92.1383 	 -7292.781 	Good
EED 	 0.1764706 	 0.1779932 	 0.6386924 	 0.02267343 	 -0.3311474 	 0.7012923 	 0.1432301 	 0.1738392 	 0.1631384 	 0.1235992 	 -79.45653 	 -8313.926 	Good
SMARCC2 	 0.9852941 	 0.7188097 	 0.408693 	 0.08630687 	 -0.4612558 	 0.3390163 	 0.1041787 	 -0.2463991 	 0.4663782 	 0.0425567 	 -128.9212 	 -9787.098 	Poor
NODAL 	 0.02941176 	 1 	 0.7253603 	 0.1267885 	 -0.3736768 	 0.893647 	 0.06649091 	 -0.1004339 	 0.70646 	 0.02996842 	 -87.11555 	 -7336.211 	Good
CDH1 	 0.08823529 	 0.4377577 	 0.5152472 	 0.09541845 	 0.3580771 	 0.1624345 	 0.1029899 	 0.1003345 	 0.3855951 	 0.01557896 	 -72.30303 	 -8684.208 	Poor
LEFTY2 	 0 	 -0.9605205 	 0.7911169 	 0.1773069 	 0.7791132 	 0.3778618 	 0.1020245 	 0.4614004 	 0.6545458 	 0.08059359 	 -33.74345 	 -8059.075 	Poor
RIF1 	 0.6470588 	 0.1345821 	 0.8581542 	 0.08015519 	 -0.4020012 	 0.3304142 	 0.1774732 	 0.57936 	 0.2872841 	 0.07139057 	 -72.28749 	 -8661.603 	Poor
ETV5 	 0.2794118 	 0.1431751 	 0.7528553 	 0.05818324 	 0.1015998 	 0.05824736 	 0.03140468 	 -0.149201 	 0.4600151 	 0.1774732 	 -79.91246 	 -7081.943 	Good
DNMT3B 	 0.1323529 	 -0.4603692 	 0.4997607 	 0.05268091 	 1 	 0.4748051 	 0.1015589 	 0.3261574 	 0.257012 	 0.0367061 	 -75.72595 	 -8876.739 	Poor
KDM5A 	 0.7647059 	 0.7356407 	 0.8511974 	 0.1774732 	 -0.148669 	 0.1012848 	 0.05502828 	 -0.5325168 	 0.9407772 	 0.1163433 	 -82.63579 	 -7069.424 	Good
JARID2 	 0.4411765 	 0.1000435 	 0.9874102 	 0.1774732 	 0.2931009 	 0.2761866 	 0.172047 	 0.2341144 	 0.1977433 	 0.07466494 	 -75.3781 	 -8092.774 	Poor
LOX 	 1 	 0.7558211 	 0.5510926 	 0.1774732 	 -0.5880495 	 0.2433637 	 0.05972264 	 -1 	 0.5972951 	 0.09573142 	 -75.65067 	 -8553.448 	Poor
Sox1 	 0.01470588 	 0.2528967 	 0.7390014 	 0.1053939 	 0.2734512 	 0.4551049 	 0.1414306 	 -0.5190881 	 0.6188773 	 0.1774732 	 -140.7596 	 -9921.927 	Good
Wnt3 	 0 	 0.7841379 	 0.7070576 	 0.11118 	 -0.2809085 	 0.6942579 	 0.07555812 	 -0.410217 	 0.862017 	 0.1774732 	 -117.4167 	 -9890.088 	Good
Gata6 	 0.1764706 	 -0.1005147 	 0.8839649 	 0.04120987 	 0.4112346 	 0.2921707 	 0.08980624 	 -0.3754598 	 0.3495571 	 0.1774018 	 -91.32972 	 -8223.112 	Good
DPPA2 	 0 	 1 	 0.7391538 	 0.05978904 	 -0.3276324 	 0.7082753 	 0.03197528 	 -0.2310031 	 0.7593567 	 0.01775016 	 -78.93441 	 -10143.5 	Poor
SALL1 	 0.6176471 	 0.6562283 	 0.2575458 	 0.08736513 	 -0.1004691 	 0.7794754 	 0.1774732 	 -0.3741312 	 0.1920405 	 0.0860036 	 -66.41454 	 -6924.034 	Poor
TCF3 	 0.2794118 	 0.3970348 	 0.9190309 	 0.06888803 	 -0.3855239 	 0.5702519 	 0.1299697 	 0.5499105 	 0.3208947 	 0.1774732 	 -72.88058 	 -7955.209 	Poor
PTPN6 	 0.02941176 	 -0.4148778 	 0.4840052 	 0.07020407 	 -0.2139313 	 0.6064357 	 0.02743491 	 1 	 0.576506 	 0.1195114 	 -89.80606 	 -8399.667 	Good
USP16 	 0.7352941 	 -1 	 0.3745623 	 0.1774732 	 0.9991535 	 0.327371 	 0.1485577 	 0.1004977 	 0.5693011 	 0.1774732 	 -101.3941 	 -8215.531 	Good
SETD1A 	 0.6617647 	 0.8798958 	 0.5646658 	 0.1329493 	 0.1002563 	 0.2446899 	 0.1774732 	 -0.6735807 	 0.5668954 	 0.07903784 	 -79.30519 	 -7292.038 	Poor
HDAC2 	 0.6029412 	 1 	 0.3226315 	 0.09229989 	 -0.8884302 	 0.3948466 	 0.1609569 	 0.269659 	 0.6499859 	 0.1436392 	 -98.3591 	 -8016.318 	Good
LUM 	 0.9852941 	 -0.4343479 	 0.3262933 	 0.1052134 	 -0.336058 	 0.5842423 	 0.1774732 	 -0.2022997 	 0.2775778 	 0.02191671 	 -72.2275 	 -8708.279 	Poor
SOX13 	 0.3676471 	 -0.6110471 	 0.2494514 	 0.1072461 	 1 	 0.3408449 	 0.08106579 	 0.2140089 	 0.9165233 	 0.1057969 	 -71.18124 	 -7321.362 	Poor
SMAD4 	 0.7794118 	 0.1443576 	 0.7674347 	 0.1774732 	 0.1402258 	 0.2314002 	 0.07340203 	 -0.1001561 	 0.5829381 	 0.05058932 	 -95.89771 	 -8706.268 	Poor
SEMA6A 	 0 	 -0.1836826 	 0.2538748 	 0.09540221 	 1 	 0.3573738 	 0.1545689 	 0.1831683 	 0.6917325 	 0.0845362 	 -82.26592 	 -8909.881 	Good
GAL 	 0.1029412 	 -0.1003415 	 0.9107567 	 0.01211291 	 0.2018182 	 0.178584 	 0.1249751 	 0.4968297 	 0.4007397 	 0.07614022 	 -44.9953 	 -7747.798 	Poor
SALL4 	 0.1176471 	 0.1003151 	 0.9874102 	 0.1774732 	 0.3181738 	 0.5466272 	 0.1140041 	 0.5346413 	 0.2711519 	 0.08911262 	 -74.38075 	 -8066.717 	Poor
HESX1 	 0 	 0.3406769 	 0.2176389 	 0.1774732 	 -0.3029047 	 0.2162985 	 0.1706323 	 0.24426 	 0.9340819 	 0.04175571 	 -91.01699 	 -9329.226 	Poor
CCR7 	 0 	 -0.100491 	 0.6509044 	 0.07546239 	 0.4223014 	 0.5463401 	 0.1567053 	 -0.2490471 	 0.4783215 	 0.08096942 	 -141.5316 	 -9857.78 	Good
PRDM14 	 0 	 0.2260624 	 0.6020566 	 0.05383354 	 0.1004288 	 0.8110138 	 0.1774732 	 0.6435471 	 0.4628063 	 0.1330623 	 -84.08862 	 -8201.061 	Good
COL3A1 	 1 	 0.6336718 	 0.3721266 	 0.09595132 	 -0.6484384 	 0.3560959 	 0.1145017 	 -1 	 0.6845948 	 0.1511605 	 -72.70546 	 -9070.119 	Poor
GREM1 	 0.7794118 	 -0.2060236 	 0.2909382 	 0.01427546 	 -1 	 0.2782695 	 0.1077768 	 0.4465791 	 0.3487644 	 0.06651033 	 -70.30761 	 -8519.815 	Poor
DVL2 	 0.6617647 	 -0.1295139 	 0.4084519 	 0.1774732 	 0.2790786 	 0.1846868 	 0.1766529 	 0.1008691 	 0.6179176 	 0.1771795 	 -78.44313 	 -7749.231 	Poor
APOE 	 0.1323529 	 0.4965718 	 0.628255 	 0.1025035 	 0.2674453 	 0.1370477 	 0.06595842 	 0.1005757 	 0.493973 	 0.04521474 	 -89.16487 	 -8597.004 	Good
LRRN1 	 0 	 0.2217765 	 0.5425503 	 0.1488094 	 0.1277979 	 0.7765525 	 0.02970627 	 0.5460107 	 0.9175593 	 0.06135996 	 -59.68408 	 -9201.271 	Poor
STAT3 	 0.9117647 	 1 	 0.3705854 	 0.05542832 	 -0.2411359 	 0.3320812 	 0.1583737 	 -0.7643541 	 0.3723253 	 0.04577819 	 -85.85108 	 -8601.674 	Poor
OTX2 	 0.04411765 	 0.7563204 	 0.9280964 	 0.09353511 	 -0.9010211 	 0.3486864 	 0.1022376 	 1 	 0.3391909 	 0.1675165 	 -52.26201 	 -7995.197 	Poor
CCND1 	 0.9558824 	 0.1483212 	 0.3869271 	 0.03355538 	 0.1005594 	 0.08135413 	 0.07636996 	 -0.2730479 	 0.2861375 	 0.1774732 	 -121.2719 	 -8754.169 	Good
STEMCCA.P2A 	 0.9117647 	 0.1360069 	 0.5490947 	 0.1774732 	 -0.1004432 	 0.2668208 	 0.02588307 	 -0.2251465 	 0.9022741 	 0.04145836 	 -68.14253 	 -8128.606 	Poor
TET2 	 0.3529412 	 -0.5310394 	 0.7565009 	 0.1514408 	 0.4448841 	 0.2064606 	 0.125636 	 -0.1775301 	 0.2928451 	 0.009465237 	 -54.79694 	 -7652.406 	Poor
KAT7_Myst 	 0.6470588 	 0.1953436 	 0.9073162 	 0.1774732 	 0.1367164 	 0.2544096 	 0.06997612 	 0.100345 	 0.3238519 	 0.1774732 	 -96.0249 	 -8202.691 	Good
TDGF1 	 0.1176471 	 0.3626484 	 0.2688641 	 0.1774732 	 1 	 0.8938757 	 0.1592922 	 -0.4869401 	 0.5456851 	 0.1774732 	 -44.16184 	 -7799.063 	Poor
MASP1 	 0.9411765 	 -0.2595664 	 0.2862225 	 0.0252783 	 -0.3021502 	 0.45822 	 0.08347088 	 -0.3299239 	 0.1945816 	 0.0558779 	 -61.89887 	 -7727.787 	Poor
KDR 	 0 	 0.3606183 	 0.2504337 	 0.06005791 	 0.1008741 	 0.7434154 	 0.1774732 	 0.4369985 	 0.9021076 	 0.0775969 	 -85.58472 	 -8233.91 	Good
GDF3 	 0 	 0.5464951 	 0.5766021 	 0.09062 	 0.4228482 	 0.3204895 	 0.09601592 	 -0.1007832 	 0.8638724 	 0.0289962 	 -67.9326 	 -8179.407 	Poor
NANOG 	 0.1911765 	 0.6927842 	 0.3229966 	 0.111507 	 -0.2818731 	 0.3326108 	 0.02081794 	 0.3592939 	 0.3154195 	 0.03084667 	 -76.41506 	 -8938.446 	Poor
ZIC3 	 0.04411765 	 -0.1102705 	 0.2534679 	 0.02579311 	 0.1174223 	 0.1979617 	 0.1161427 	 0.7314312 	 0.8242926 	 0.1079851 	 -61.57619 	 -8885.837 	Poor
LIN28A 	 0.2205882 	 0.2256844 	 0.2056854 	 0.1774732 	 0.4468264 	 0.8061244 	 0.1034606 	 0.1002399 	 0.6525419 	 0.009465237 	 -72.64431 	 -7755.396 	Poor
POU5F1 	 0.2352941 	 0.6059436 	 0.3606456 	 0.1774732 	 0.25393 	 0.4317666 	 0.04840357 	 -0.1004129 	 0.1823396 	 0.01670823 	 -71.86367 	 -8005.735 	Poor
